   1.0000000000000000E-003   1.2566352172096722        1.2576370650454798       -3.7259009572606790E-003  -3.0241389295882278E-005
   2.0000000000000000E-003   1.2566302493473185        1.2576370246996020       -7.4517817931831938E-003  -6.0569069379701022E-005
   3.0000000000000001E-003   1.2566221765984276        1.2576369590206982       -1.1177623877447460E-002  -9.1060611118467326E-005
   4.0000000000000001E-003   1.2566109990027441        1.2576368678411876       -1.4903408580760677E-002  -1.2179358776122586E-004
   5.0000000000000001E-003   1.2565967166155370        1.2576367509288451       -1.8629117275354004E-002  -1.5284557296371725E-004
   6.0000000000000001E-003   1.2565793295075971        1.2576366079868009       -2.2354731335478970E-002  -1.8429413881368434E-004
   7.0000000000000001E-003   1.2565588377652364        1.2576364386535435       -2.6080232137903545E-002  -2.1621685385710769E-004
   8.0000000000000002E-003   1.2565352414902842        1.2576362425029228       -2.9805601062407788E-002  -2.4869128112567064E-004
   9.0000000000000011E-003   1.2565085408000860        1.2576360190441558       -3.3530819492278950E-002  -2.8179497616582410E-004
   1.0000000000000002E-002   1.2564787358274994        1.2576357677218335       -3.7255868814805998E-002  -3.1560548506958481E-004
   1.0999999999999999E-002   1.2564458267208907        1.2576354879159295       -4.0980730421773394E-002  -3.5020034250758588E-004
   1.2000000000000000E-002   1.2564098136441311        1.2576351789418103       -4.4705385709954137E-002  -3.8565706976448447E-004
   1.3000000000000001E-002   1.2563706967765926        1.2576348400502475       -4.8429816081601851E-002  -4.2205317277721943E-004
   1.4000000000000002E-002   1.2563284763131428        1.2576344704274312       -5.2154002944941956E-002  -4.5946614017621776E-004
   1.4999999999999999E-002   1.2562831524641400        1.2576340691949850       -5.5877927714661754E-002  -4.9797344133000788E-004
   1.6000000000000000E-002   1.2562347254554274        1.2576336354099835       -5.9601571812399369E-002  -5.3765252439347071E-004
   1.7000000000000001E-002   1.2561831955283271        1.2576331680649697       -6.3324916667231418E-002  -5.7858081436006157E-004
   1.8000000000000002E-002   1.2561285629396342        1.2576326660879762       -6.7047943716159408E-002  -6.2083571111821697E-004
   1.9000000000000003E-002   1.2560708279616091        1.2576321283425460       -7.0770634404594662E-002  -6.6449458751240164E-004
   2.0000000000000000E-002   1.2560099908819713        1.2576315536277562       -7.4492970186841756E-002  -7.0963478740891336E-004
   2.1000000000000001E-002   1.2559460520038914        1.2576309406782433       -7.8214932526580364E-002  -7.5633362376684220E-004
   2.2000000000000002E-002   1.2558790116459826        1.2576302881642289       -8.1936502897345401E-002  -8.0466837671451801E-004
   2.3000000000000000E-002   1.2558088701422929        1.2576295946915486       -8.5657662783005420E-002  -8.5471629163162786E-004
   2.4000000000000000E-002   1.2557356278422964        1.2576288588016808       -8.9378393678239160E-002  -9.0655457723736008E-004
   2.5000000000000001E-002   1.2556592851108834        1.2576280789717793       -9.3098677089010054E-002  -9.6026040368489812E-004
   2.6000000000000002E-002   1.2555798423283513        1.2576272536147048       -9.6818494533038854E-002  -1.0159109006624893E-003
   2.7000000000000003E-002   1.2554972998903948        1.2576263810790609      -0.10053782754027402       -1.0735831555013934E-003
   2.8000000000000001E-002   1.2554116582080952        1.2576254596492284      -0.10425665765335992       -1.1333542112910561E-003
   2.9000000000000001E-002   1.2553229177079095        1.2576244875454046      -0.10797496642810285       -1.1953010650016880E-003
   3.0000000000000002E-002   1.2552310788316594        1.2576234629236411      -0.11169273543393446       -1.2595006656146764E-003
   3.1000000000000000E-002   1.2551361420365201        1.2576223838758858      -0.11540994625437294       -1.3260299122609695E-003
   3.2000000000000001E-002   1.2550381077950081        1.2576212484300240      -0.11912658048748158       -1.3949656523678127E-003
   3.3000000000000002E-002   1.2549369765949685        1.2576200545499230      -0.12284261974632463       -1.4663846798140703E-003
   3.4000000000000002E-002   1.2548327489395630        1.2576188001354773      -0.12655804565942055       -1.5403637330944641E-003
   3.5000000000000003E-002   1.2547254253472564        1.2576174830226552      -0.13027283987119245       -1.6169794934929183E-003
   3.6000000000000004E-002   1.2546150063518033        1.2576161009835476      -0.13398698404241557       -1.6963085832653944E-003
   3.7000000000000005E-002   1.2545014925022346        1.2576146517264175      -0.13770045985066195       -1.7784275638324028E-003
   3.7999999999999999E-002   1.2543848843628427        1.2576131328957518      -0.14141324899074187       -1.8634129339814964E-003
   3.9000000000000000E-002   1.2542651825131674        1.2576115420723140      -0.14512533317514237       -1.9513411280800677E-003
   4.0000000000000001E-002   1.2541423875479807        1.2576098767731987      -0.14883669413446243       -2.0422885142985891E-003
   4.1000000000000002E-002   1.2540165000772721        1.2576081344518872      -0.15254731361784493       -2.1363313928447602E-003
   4.2000000000000003E-002   1.2538875207262321        1.2576063124983055      -0.15625717339340522       -2.2335459942085674E-003
   4.3000000000000003E-002   1.2537554501352373        1.2576044082388822      -0.15996625524865629       -2.3340084774188183E-003
   4.4000000000000004E-002   1.2536202889598327        1.2576024189366095      -0.16367454099093037       -2.4377949283111242E-003
   4.4999999999999998E-002   1.2534820378707165        1.2576003417911046      -0.16738201244779702       -2.5449813578078228E-003
   4.5999999999999999E-002   1.2533406975537222        1.2575981739386723      -0.17108865146747751       -2.6556437002099400E-003
   4.7000000000000000E-002   1.2531962687098011        1.2575959124523708      -0.17479443991925539       -2.7698578115015315E-003
   4.8000000000000001E-002   1.2530487520550051        1.2575935543420760      -0.17849935969388336       -2.8876994676666295E-003
   4.9000000000000002E-002   1.2528981483204684        1.2575910965545505      -0.18220339270398622       -3.0092443630190570E-003
   5.0000000000000003E-002   1.2527444582523890        1.2575885359735108      -0.18590652088445975       -3.1345681085453020E-003
