   rho_c        M         M_0         R         Omega      Omega_p       T/W           C*J/GM_s^2      I        h_plus       h_minus       Z_p      Z_b        Z_f       omega_c/Omega   r_e     r_ratio     Omega_pa    Omega+    u_phi
1.50000e+15 2.14323e+00 2.50642e+00 1.24396e+01 9.90050e-01 1.20231e+00 1.19088e-01 3.01400e+00 2.67546e+00 1.47287e+00 1.37756e+01 6.36298e-01 1.76338e+00 -2.23733e-01 7.06953e-01 2.39346e-01 6.50879e-01
r/(r+r_e)  cos(theta)     rho        gamma      alpha      omega     pressure
0.0000e+00 6.5625e-01 -1.6089e+00 -1.8696e-01 7.1096e-01 6.9992e-01 4.1275e+35
0.0000e+00 6.7188e-01 -1.6089e+00 -1.8696e-01 7.1096e-01 6.9992e-01 4.1275e+35
0.0000e+00 6.8750e-01 -1.6089e+00 -1.8696e-01 7.1096e-01 6.9992e-01 4.1275e+35
0.0000e+00 7.0312e-01 -1.6089e+00 -1.8696e-01 7.1096e-01 6.9992e-01 4.1275e+35
0.0000e+00 7.1875e-01 -1.6089e+00 -1.8696e-01 7.1096e-01 6.9992e-01 4.1275e+35
0.0000e+00 7.3438e-01 -1.6089e+00 -1.8696e-01 7.1096e-01 6.9992e-01 4.1275e+35
0.0000e+00 7.5000e-01 -1.6089e+00 -1.8696e-01 7.1096e-01 6.9992e-01 4.1275e+35
0.0000e+00 7.6562e-01 -1.6089e+00 -1.8696e-01 7.1096e-01 6.9992e-01 4.1275e+35
0.0000e+00 7.8125e-01 -1.6089e+00 -1.8696e-01 7.1096e-01 6.9992e-01 4.1275e+35
0.0000e+00 7.9688e-01 -1.6089e+00 -1.8696e-01 7.1096e-01 6.9992e-01 4.1275e+35
0.0000e+00 8.1250e-01 -1.6089e+00 -1.8696e-01 7.1096e-01 6.9992e-01 4.1275e+35
0.0000e+00 8.2812e-01 -1.6089e+00 -1.8696e-01 7.1096e-01 6.9992e-01 4.1275e+35
