   rho_c        M         M_0         R         Omega      Omega_p       T/W           C*J/GM_s^2      I        h_plus       h_minus       Z_p      Z_b        Z_f       omega_c/Omega   r_e     r_ratio     Omega_pa    Omega+    u_phi
9.00000e+14 1.04879e+00 1.12429e+00 1.29134e+01 6.50040e-01 8.15066e-01 8.49552e-02 6.92912e-01 9.36808e-01 0.00000e+00 1.61782e+00 2.06972e-01 6.04815e-01 -1.73714e-01 3.79245e-01 3.06935e-01 6.71484e-01
r/(r+r_e)  cos(theta)     rho        gamma      alpha      omega     pressure
7.8117e-03 6.0938e-01 -6.5052e-01 -3.0960e-02 3.0978e-01 2.4652e-01 7.8401e+34
7.8117e-03 6.2500e-01 -6.5052e-01 -3.0960e-02 3.0978e-01 2.4652e-01 7.8400e+34
7.8117e-03 6.4062e-01 -6.5052e-01 -3.0960e-02 3.0978e-01 2.4652e-01 7.8400e+34
7.8117e-03 6.5625e-01 -6.5052e-01 -3.0960e-02 3.0978e-01 2.4652e-01 7.8400e+34
7.8117e-03 6.7188e-01 -6.5052e-01 -3.0960e-02 3.0978e-01 2.4652e-01 7.8400e+34
7.8117e-03 6.8750e-01 -6.5052e-01 -3.0959e-02 3.0978e-01 2.4652e-01 7.8399e+34
7.8117e-03 7.0312e-01 -6.5052e-01 -3.0959e-02 3.0978e-01 2.4652e-01 7.8399e+34
7.8117e-03 7.1875e-01 -6.5052e-01 -3.0959e-02 3.0978e-01 2.4652e-01 7.8399e+34
7.8117e-03 7.3438e-01 -6.5052e-01 -3.0959e-02 3.0978e-01 2.4652e-01 7.8399e+34
7.8117e-03 7.5000e-01 -6.5052e-01 -3.0959e-02 3.0978e-01 2.4652e-01 7.8398e+34
7.8117e-03 7.6562e-01 -6.5051e-01 -3.0959e-02 3.0978e-01 2.4652e-01 7.8398e+34
7.8117e-03 7.8125e-01 -6.5051e-01 -3.0959e-02 3.0978e-01 2.4652e-01 7.8398e+34
7.8117e-03 7.9688e-01 -6.5051e-01 -3.0959e-02 3.0978e-01 2.4652e-01 7.8398e+34
7.8117e-03 8.1250e-01 -6.5051e-01 -3.0959e-02 3.0978e-01 2.4652e-01 7.8397e+34
7.8117e-03 8.2812e-01 -6.5051e-01 -3.0959e-02 3.0978e-01 2.4652e-01 7.8397e+34
7.8117e-03 8.4375e-01 -6.5051e-01 -3.0959e-02 3.0978e-01 2.4652e-01 7.8397e+34
7.8117e-03 8.5938e-01 -6.5051e-01 -3.0959e-02 3.0978e-01 2.4652e-01 7.8396e+34
7.8117e-03 8.7500e-01 -6.5051e-01 -3.0959e-02 3.0978e-01 2.4652e-01 7.8396e+34
7.8117e-03 8.9062e-01 -6.5051e-01 -3.0959e-02 3.0978e-01 2.4652e-01 7.8396e+34
7.8117e-03 9.0625e-01 -6.5051e-01 -3.0959e-02 3.0978e-01 2.4652e-01 7.8395e+34
7.8117e-03 9.2188e-01 -6.5051e-01 -3.0959e-02 3.0978e-01 2.4652e-01 7.8395e+34
7.8117e-03 9.3750e-01 -6.5051e-01 -3.0959e-02 3.0978e-01 2.4652e-01 7.8394e+34
7.8117e-03 9.5312e-01 -6.5051e-01 -3.0959e-02 3.0977e-01 2.4652e-01 7.8394e+34
7.8117e-03 9.6875e-01 -6.5051e-01 -3.0958e-02 3.0977e-01 2.4651e-01 7.8393e+34
7.8117e-03 9.8438e-01 -6.5050e-01 -3.0958e-02 3.0977e-01 2.4651e-01 7.8391e+34
7.8117e-03 1.0000e+00 -6.5050e-01 -3.0957e-02 3.0977e-01 2.4651e-01 7.8390e+34
1.5623e-02 0.0000e+00 -6.5035e-01 -3.0938e-02 3.0970e-01 2.4645e-01 7.8325e+34
1.5623e-02 1.5625e-02 -6.5035e-01 -3.0938e-02 3.0970e-01 2.4645e-01 7.8325e+34
1.5623e-02 3.1250e-02 -6.5035e-01 -3.0938e-02 3.0970e-01 2.4645e-01 7.8325e+34
1.5623e-02 4.6875e-02 -6.5035e-01 -3.0938e-02 3.0970e-01 2.4645e-01 7.8325e+34
1.5623e-02 6.2500e-02 -6.5035e-01 -3.0938e-02 3.0970e-01 2.4645e-01 7.8325e+34
1.5623e-02 7.8125e-02 -6.5035e-01 -3.0938e-02 3.0970e-01 2.4645e-01 7.8325e+34
1.5623e-02 9.3750e-02 -6.5035e-01 -3.0938e-02 3.0970e-01 2.4645e-01 7.8325e+34
1.5623e-02 1.0938e-01 -6.5035e-01 -3.0938e-02 3.0970e-01 2.4645e-01 7.8325e+34
1.5623e-02 1.2500e-01 -6.5035e-01 -3.0938e-02 3.0970e-01 2.4645e-01 7.8325e+34
1.5623e-02 1.4062e-01 -6.5035e-01 -3.0938e-02 3.0970e-01 2.4645e-01 7.8325e+34
1.5623e-02 1.5625e-01 -6.5035e-01 -3.0938e-02 3.0970e-01 2.4645e-01 7.8324e+34
1.5623e-02 1.7188e-01 -6.5035e-01 -3.0938e-02 3.0970e-01 2.4645e-01 7.8324e+34
1.5623e-02 1.8750e-01 -6.5035e-01 -3.0938e-02 3.0970e-01 2.4645e-01 7.8324e+34
1.5623e-02 2.0312e-01 -6.5035e-01 -3.0938e-02 3.0970e-01 2.4645e-01 7.8324e+34
1.5623e-02 2.1875e-01 -6.5035e-01 -3.0937e-02 3.0970e-01 2.4645e-01 7.8323e+34
1.5623e-02 2.3438e-01 -6.5035e-01 -3.0937e-02 3.0970e-01 2.4645e-01 7.8323e+34
1.5623e-02 2.5000e-01 -6.5035e-01 -3.0937e-02 3.0970e-01 2.4645e-01 7.8323e+34
1.5623e-02 2.6562e-01 -6.5035e-01 -3.0937e-02 3.0970e-01 2.4644e-01 7.8322e+34
1.5623e-02 2.8125e-01 -6.5035e-01 -3.0937e-02 3.0970e-01 2.4644e-01 7.8322e+34
1.5623e-02 2.9688e-01 -6.5035e-01 -3.0937e-02 3.0970e-01 2.4644e-01 7.8322e+34
1.5623e-02 3.1250e-01 -6.5035e-01 -3.0937e-02 3.0970e-01 2.4644e-01 7.8321e+34
1.5623e-02 3.2812e-01 -6.5035e-01 -3.0937e-02 3.0970e-01 2.4644e-01 7.8321e+34
1.5623e-02 3.4375e-01 -6.5035e-01 -3.0937e-02 3.0970e-01 2.4644e-01 7.8320e+34
1.5623e-02 3.5938e-01 -6.5034e-01 -3.0937e-02 3.0970e-01 2.4644e-01 7.8320e+34
1.5623e-02 3.7500e-01 -6.5034e-01 -3.0937e-02 3.0970e-01 2.4644e-01 7.8319e+34
1.5623e-02 3.9062e-01 -6.5034e-01 -3.0937e-02 3.0970e-01 2.4644e-01 7.8319e+34
1.5623e-02 4.0625e-01 -6.5034e-01 -3.0937e-02 3.0970e-01 2.4644e-01 7.8318e+34
1.5623e-02 4.2188e-01 -6.5034e-01 -3.0936e-02 3.0970e-01 2.4644e-01 7.8318e+34
1.5623e-02 4.3750e-01 -6.5034e-01 -3.0936e-02 3.0970e-01 2.4644e-01 7.8317e+34
1.5623e-02 4.5312e-01 -6.5034e-01 -3.0936e-02 3.0970e-01 2.4644e-01 7.8316e+34
1.5623e-02 4.6875e-01 -6.5034e-01 -3.0936e-02 3.0970e-01 2.4644e-01 7.8316e+34
1.5623e-02 4.8438e-01 -6.5034e-01 -3.0936e-02 3.0970e-01 2.4644e-01 7.8315e+34
1.5623e-02 5.0000e-01 -6.5034e-01 -3.0936e-02 3.0970e-01 2.4644e-01 7.8315e+34
1.5623e-02 5.1562e-01 -6.5034e-01 -3.0936e-02 3.0970e-01 2.4644e-01 7.8314e+34
1.5623e-02 5.3125e-01 -6.5033e-01 -3.0936e-02 3.0970e-01 2.4644e-01 7.8313e+34
1.5623e-02 5.4688e-01 -6.5033e-01 -3.0935e-02 3.0970e-01 2.4644e-01 7.8312e+34
1.5623e-02 5.6250e-01 -6.5033e-01 -3.0935e-02 3.0970e-01 2.4644e-01 7.8312e+34
1.5623e-02 5.7812e-01 -6.5033e-01 -3.0935e-02 3.0970e-01 2.4644e-01 7.8311e+34
1.5623e-02 5.9375e-01 -6.5033e-01 -3.0935e-02 3.0969e-01 2.4643e-01 7.8310e+34
1.5623e-02 6.0938e-01 -6.5033e-01 -3.0935e-02 3.0969e-01 2.4643e-01 7.8309e+34
1.5623e-02 6.2500e-01 -6.5033e-01 -3.0935e-02 3.0969e-01 2.4643e-01 7.8308e+34
1.5623e-02 6.4062e-01 -6.5033e-01 -3.0935e-02 3.0969e-01 2.4643e-01 7.8307e+34
1.5623e-02 6.5625e-01 -6.5032e-01 -3.0934e-02 3.0969e-01 2.4643e-01 7.8307e+34
1.5623e-02 6.7188e-01 -6.5032e-01 -3.0934e-02 3.0969e-01 2.4643e-01 7.8306e+34
1.5623e-02 6.8750e-01 -6.5032e-01 -3.0934e-02 3.0969e-01 2.4643e-01 7.8305e+34
1.5623e-02 7.0312e-01 -6.5032e-01 -3.0934e-02 3.0969e-01 2.4643e-01 7.8304e+34
1.5623e-02 7.1875e-01 -6.5032e-01 -3.0934e-02 3.0969e-01 2.4643e-01 7.8303e+34
1.5623e-02 7.3438e-01 -6.5032e-01 -3.0933e-02 3.0969e-01 2.4643e-01 7.8302e+34
1.5623e-02 7.5000e-01 -6.5031e-01 -3.0933e-02 3.0969e-01 2.4643e-01 7.8301e+34
1.5623e-02 7.6562e-01 -6.5031e-01 -3.0933e-02 3.0969e-01 2.4643e-01 7.8300e+34
1.5623e-02 7.8125e-01 -6.5031e-01 -3.0933e-02 3.0969e-01 2.4643e-01 7.8299e+34
1.5623e-02 7.9688e-01 -6.5031e-01 -3.0933e-02 3.0969e-01 2.4643e-01 7.8298e+34
1.5623e-02 8.1250e-01 -6.5031e-01 -3.0932e-02 3.0969e-01 2.4642e-01 7.8296e+34
1.5623e-02 8.2812e-01 -6.5031e-01 -3.0932e-02 3.0969e-01 2.4642e-01 7.8295e+34
1.5623e-02 8.4375e-01 -6.5030e-01 -3.0932e-02 3.0969e-01 2.4642e-01 7.8294e+34
1.5623e-02 8.5938e-01 -6.5030e-01 -3.0932e-02 3.0968e-01 2.4642e-01 7.8293e+34
1.5623e-02 8.7500e-01 -6.5030e-01 -3.0932e-02 3.0968e-01 2.4642e-01 7.8292e+34
1.5623e-02 8.9062e-01 -6.5030e-01 -3.0931e-02 3.0968e-01 2.4642e-01 7.8290e+34
1.5623e-02 9.0625e-01 -6.5030e-01 -3.0931e-02 3.0968e-01 2.4642e-01 7.8289e+34
