   rho_c        M         M_0         R         Omega      Omega_p       T/W           C*J/GM_s^2      I        h_plus       h_minus       Z_p      Z_b        Z_f       omega_c/Omega   r_e     r_ratio     Omega_pa    Omega+    u_phi
5.00000e+14 2.39824e-01 2.41613e-01 1.62222e+01 2.40006e-01 2.73662e-01 2.13161e-02 2.80665e-02 1.02773e-01 0.00000e+00 0.00000e+00 3.16874e-02 1.68769e-01 -1.05263e-01 1.10047e-01 4.32315e-01 7.07422e-01
r/(r+r_e)  cos(theta)     rho        gamma      alpha      omega     pressure
0.0000e+00 0.0000e+00 -1.7012e-01 -2.2194e-03 8.3948e-02 2.6412e-02 1.0608e+34
0.0000e+00 1.5625e-02 -1.7012e-01 -2.2194e-03 8.3948e-02 2.6412e-02 1.0608e+34
0.0000e+00 3.1250e-02 -1.7012e-01 -2.2194e-03 8.3948e-02 2.6412e-02 1.0608e+34
0.0000e+00 4.6875e-02 -1.7012e-01 -2.2194e-03 8.3948e-02 2.6412e-02 1.0608e+34
0.0000e+00 6.2500e-02 -1.7012e-01 -2.2194e-03 8.3948e-02 2.6412e-02 1.0608e+34
0.0000e+00 7.8125e-02 -1.7012e-01 -2.2194e-03 8.3948e-02 2.6412e-02 1.0608e+34
0.0000e+00 9.3750e-02 -1.7012e-01 -2.2194e-03 8.3948e-02 2.6412e-02 1.0608e+34
0.0000e+00 1.0938e-01 -1.7012e-01 -2.2194e-03 8.3948e-02 2.6412e-02 1.0608e+34
0.0000e+00 1.2500e-01 -1.7012e-01 -2.2194e-03 8.3948e-02 2.6412e-02 1.0608e+34
0.0000e+00 1.4062e-01 -1.7012e-01 -2.2194e-03 8.3948e-02 2.6412e-02 1.0608e+34
0.0000e+00 1.5625e-01 -1.7012e-01 -2.2194e-03 8.3948e-02 2.6412e-02 1.0608e+34
0.0000e+00 1.7188e-01 -1.7012e-01 -2.2194e-03 8.3948e-02 2.6412e-02 1.0608e+34
0.0000e+00 1.8750e-01 -1.7012e-01 -2.2194e-03 8.3948e-02 2.6412e-02 1.0608e+34
0.0000e+00 2.0312e-01 -1.7012e-01 -2.2194e-03 8.3948e-02 2.6412e-02 1.0608e+34
0.0000e+00 2.1875e-01 -1.7012e-01 -2.2194e-03 8.3948e-02 2.6412e-02 1.0608e+34
0.0000e+00 2.3438e-01 -1.7012e-01 -2.2194e-03 8.3948e-02 2.6412e-02 1.0608e+34
0.0000e+00 2.5000e-01 -1.7012e-01 -2.2194e-03 8.3948e-02 2.6412e-02 1.0608e+34
0.0000e+00 2.6562e-01 -1.7012e-01 -2.2194e-03 8.3948e-02 2.6412e-02 1.0608e+34
0.0000e+00 2.8125e-01 -1.7012e-01 -2.2194e-03 8.3948e-02 2.6412e-02 1.0608e+34
0.0000e+00 2.9688e-01 -1.7012e-01 -2.2194e-03 8.3948e-02 2.6412e-02 1.0608e+34
0.0000e+00 3.1250e-01 -1.7012e-01 -2.2194e-03 8.3948e-02 2.6412e-02 1.0608e+34
0.0000e+00 3.2812e-01 -1.7012e-01 -2.2194e-03 8.3948e-02 2.6412e-02 1.0608e+34
0.0000e+00 3.4375e-01 -1.7012e-01 -2.2194e-03 8.3948e-02 2.6412e-02 1.0608e+34
0.0000e+00 3.5938e-01 -1.7012e-01 -2.2194e-03 8.3948e-02 2.6412e-02 1.0608e+34
0.0000e+00 3.7500e-01 -1.7012e-01 -2.2194e-03 8.3948e-02 2.6412e-02 1.0608e+34
0.0000e+00 3.9062e-01 -1.7012e-01 -2.2194e-03 8.3948e-02 2.6412e-02 1.0608e+34
0.0000e+00 4.0625e-01 -1.7012e-01 -2.2194e-03 8.3948e-02 2.6412e-02 1.0608e+34
0.0000e+00 4.2188e-01 -1.7012e-01 -2.2194e-03 8.3948e-02 2.6412e-02 1.0608e+34
0.0000e+00 4.3750e-01 -1.7012e-01 -2.2194e-03 8.3948e-02 2.6412e-02 1.0608e+34
0.0000e+00 4.5312e-01 -1.7012e-01 -2.2194e-03 8.3948e-02 2.6412e-02 1.0608e+34
0.0000e+00 4.6875e-01 -1.7012e-01 -2.2194e-03 8.3948e-02 2.6412e-02 1.0608e+34
0.0000e+00 4.8438e-01 -1.7012e-01 -2.2194e-03 8.3948e-02 2.6412e-02 1.0608e+34
0.0000e+00 5.0000e-01 -1.7012e-01 -2.2194e-03 8.3948e-02 2.6412e-02 1.0608e+34
0.0000e+00 5.1562e-01 -1.7012e-01 -2.2194e-03 8.3948e-02 2.6412e-02 1.0608e+34
0.0000e+00 5.3125e-01 -1.7012e-01 -2.2194e-03 8.3948e-02 2.6412e-02 1.0608e+34
0.0000e+00 5.4688e-01 -1.7012e-01 -2.2194e-03 8.3948e-02 2.6412e-02 1.0608e+34
0.0000e+00 5.6250e-01 -1.7012e-01 -2.2194e-03 8.3948e-02 2.6412e-02 1.0608e+34
0.0000e+00 5.7812e-01 -1.7012e-01 -2.2194e-03 8.3948e-02 2.6412e-02 1.0608e+34
0.0000e+00 5.9375e-01 -1.7012e-01 -2.2194e-03 8.3948e-02 2.6412e-02 1.0608e+34
0.0000e+00 6.0938e-01 -1.7012e-01 -2.2194e-03 8.3948e-02 2.6412e-02 1.0608e+34
0.0000e+00 6.2500e-01 -1.7012e-01 -2.2194e-03 8.3948e-02 2.6412e-02 1.0608e+34
0.0000e+00 6.4062e-01 -1.7012e-01 -2.2194e-03 8.3948e-02 2.6412e-02 1.0608e+34
0.0000e+00 6.5625e-01 -1.7012e-01 -2.2194e-03 8.3948e-02 2.6412e-02 1.0608e+34
0.0000e+00 6.7188e-01 -1.7012e-01 -2.2194e-03 8.3948e-02 2.6412e-02 1.0608e+34
0.0000e+00 6.8750e-01 -1.7012e-01 -2.2194e-03 8.3948e-02 2.6412e-02 1.0608e+34
0.0000e+00 7.0312e-01 -1.7012e-01 -2.2194e-03 8.3948e-02 2.6412e-02 1.0608e+34
0.0000e+00 7.1875e-01 -1.7012e-01 -2.2194e-03 8.3948e-02 2.6412e-02 1.0608e+34
0.0000e+00 7.3438e-01 -1.7012e-01 -2.2194e-03 8.3948e-02 2.6412e-02 1.0608e+34
0.0000e+00 7.5000e-01 -1.7012e-01 -2.2194e-03 8.3948e-02 2.6412e-02 1.0608e+34
0.0000e+00 7.6562e-01 -1.7012e-01 -2.2194e-03 8.3948e-02 2.6412e-02 1.0608e+34
0.0000e+00 7.8125e-01 -1.7012e-01 -2.2194e-03 8.3948e-02 2.6412e-02 1.0608e+34
0.0000e+00 7.9688e-01 -1.7012e-01 -2.2194e-03 8.3948e-02 2.6412e-02 1.0608e+34
0.0000e+00 8.1250e-01 -1.7012e-01 -2.2194e-03 8.3948e-02 2.6412e-02 1.0608e+34
0.0000e+00 8.2812e-01 -1.7012e-01 -2.2194e-03 8.3948e-02 2.6412e-02 1.0608e+34
0.0000e+00 8.4375e-01 -1.7012e-01 -2.2194e-03 8.3948e-02 2.6412e-02 1.0608e+34
0.0000e+00 8.5938e-01 -1.7012e-01 -2.2194e-03 8.3948e-02 2.6412e-02 1.0608e+34
0.0000e+00 8.7500e-01 -1.7012e-01 -2.2194e-03 8.3948e-02 2.6412e-02 1.0608e+34
0.0000e+00 8.9062e-01 -1.7012e-01 -2.2194e-03 8.3948e-02 2.6412e-02 1.0608e+34
0.0000e+00 9.0625e-01 -1.7012e-01 -2.2194e-03 8.3948e-02 2.6412e-02 1.0608e+34
0.0000e+00 9.2188e-01 -1.7012e-01 -2.2194e-03 8.3948e-02 2.6412e-02 1.0608e+34
0.0000e+00 9.3750e-01 -1.7012e-01 -2.2194e-03 8.3948e-02 2.6412e-02 1.0608e+34
0.0000e+00 9.5312e-01 -1.7012e-01 -2.2194e-03 8.3948e-02 2.6412e-02 1.0608e+34
0.0000e+00 9.6875e-01 -1.7012e-01 -2.2194e-03 8.3948e-02 2.6412e-02 1.0608e+34
0.0000e+00 9.8438e-01 -1.7012e-01 -2.2194e-03 8.3948e-02 2.6412e-02 1.0608e+34
0.0000e+00 1.0000e+00 -1.7012e-01 -2.2194e-03 8.3948e-02 2.6412e-02 1.0608e+34
