   rho_c        M         M_0         R         Omega      Omega_p       T/W           C*J/GM_s^2      I        h_plus       h_minus       Z_p      Z_b        Z_f       omega_c/Omega   r_e     r_ratio     Omega_pa    Omega+    u_phi
9.00000e+14 8.78552e-01 9.38290e-01 1.04482e+01 2.00008e-01 1.00783e+00 6.78724e-03 1.34345e-01 5.90321e-01 0.00000e+00 0.00000e+00 1.56937e-01 2.50564e-01 6.44677e-02 3.25334e-01 2.48015e-01 9.72443e-01
r/(r+r_e)  cos(theta)     rho        gamma      alpha      omega     pressure
7.8117e-03 7.5000e-01 -5.6963e-01 -2.7176e-02 2.7123e-01 6.5069e-02 7.8399e+34
7.8117e-03 7.6562e-01 -5.6963e-01 -2.7176e-02 2.7123e-01 6.5069e-02 7.8399e+34
7.8117e-03 7.8125e-01 -5.6963e-01 -2.7176e-02 2.7123e-01 6.5069e-02 7.8399e+34
7.8117e-03 7.9688e-01 -5.6963e-01 -2.7176e-02 2.7123e-01 6.5069e-02 7.8399e+34
7.8117e-03 8.1250e-01 -5.6963e-01 -2.7176e-02 2.7123e-01 6.5069e-02 7.8399e+34
7.8117e-03 8.2812e-01 -5.6963e-01 -2.7176e-02 2.7123e-01 6.5069e-02 7.8399e+34
7.8117e-03 8.4375e-01 -5.6963e-01 -2.7176e-02 2.7123e-01 6.5069e-02 7.8399e+34
7.8117e-03 8.5938e-01 -5.6963e-01 -2.7176e-02 2.7123e-01 6.5069e-02 7.8399e+34
7.8117e-03 8.7500e-01 -5.6963e-01 -2.7176e-02 2.7123e-01 6.5069e-02 7.8399e+34
7.8117e-03 8.9062e-01 -5.6963e-01 -2.7176e-02 2.7123e-01 6.5069e-02 7.8399e+34
7.8117e-03 9.0625e-01 -5.6963e-01 -2.7176e-02 2.7123e-01 6.5069e-02 7.8399e+34
7.8117e-03 9.2188e-01 -5.6963e-01 -2.7176e-02 2.7123e-01 6.5069e-02 7.8399e+34
7.8117e-03 9.3750e-01 -5.6963e-01 -2.7176e-02 2.7122e-01 6.5069e-02 7.8399e+34
7.8117e-03 9.5312e-01 -5.6962e-01 -2.7176e-02 2.7122e-01 6.5069e-02 7.8398e+34
7.8117e-03 9.6875e-01 -5.6962e-01 -2.7176e-02 2.7122e-01 6.5069e-02 7.8398e+34
7.8117e-03 9.8438e-01 -5.6962e-01 -2.7176e-02 2.7122e-01 6.5069e-02 7.8397e+34
7.8117e-03 1.0000e+00 -5.6962e-01 -2.7175e-02 2.7122e-01 6.5068e-02 7.8397e+34
1.5623e-02 0.0000e+00 -5.6951e-01 -2.7162e-02 2.7118e-01 6.5053e-02 7.8344e+34
1.5623e-02 1.5625e-02 -5.6951e-01 -2.7162e-02 2.7118e-01 6.5053e-02 7.8344e+34
1.5623e-02 3.1250e-02 -5.6951e-01 -2.7162e-02 2.7118e-01 6.5053e-02 7.8344e+34
1.5623e-02 4.6875e-02 -5.6951e-01 -2.7162e-02 2.7118e-01 6.5053e-02 7.8344e+34
1.5623e-02 6.2500e-02 -5.6951e-01 -2.7162e-02 2.7118e-01 6.5053e-02 7.8344e+34
1.5623e-02 7.8125e-02 -5.6951e-01 -2.7162e-02 2.7118e-01 6.5053e-02 7.8344e+34
1.5623e-02 9.3750e-02 -5.6951e-01 -2.7162e-02 2.7118e-01 6.5053e-02 7.8344e+34
1.5623e-02 1.0938e-01 -5.6951e-01 -2.7162e-02 2.7118e-01 6.5053e-02 7.8344e+34
1.5623e-02 1.2500e-01 -5.6951e-01 -2.7162e-02 2.7118e-01 6.5053e-02 7.8344e+34
1.5623e-02 1.4062e-01 -5.6951e-01 -2.7162e-02 2.7118e-01 6.5053e-02 7.8344e+34
1.5623e-02 1.5625e-01 -5.6951e-01 -2.7162e-02 2.7118e-01 6.5053e-02 7.8344e+34
1.5623e-02 1.7188e-01 -5.6951e-01 -2.7162e-02 2.7118e-01 6.5053e-02 7.8344e+34
1.5623e-02 1.8750e-01 -5.6951e-01 -2.7162e-02 2.7118e-01 6.5053e-02 7.8344e+34
1.5623e-02 2.0312e-01 -5.6951e-01 -2.7162e-02 2.7118e-01 6.5053e-02 7.8344e+34
1.5623e-02 2.1875e-01 -5.6951e-01 -2.7162e-02 2.7118e-01 6.5053e-02 7.8343e+34
1.5623e-02 2.3438e-01 -5.6951e-01 -2.7162e-02 2.7118e-01 6.5053e-02 7.8343e+34
1.5623e-02 2.5000e-01 -5.6951e-01 -2.7162e-02 2.7118e-01 6.5053e-02 7.8343e+34
1.5623e-02 2.6562e-01 -5.6951e-01 -2.7162e-02 2.7118e-01 6.5053e-02 7.8343e+34
1.5623e-02 2.8125e-01 -5.6951e-01 -2.7162e-02 2.7118e-01 6.5053e-02 7.8343e+34
