   rho_c        M         M_0         R         Omega      Omega_p       T/W           C*J/GM_s^2      I        h_plus       h_minus       Z_p      Z_b        Z_f       omega_c/Omega   r_e     r_ratio     Omega_pa    Omega+    u_phi
1.50000e+15 1.78490e+00 2.09239e+00 1.03652e+01 1.99992e-01 1.44062e+00 4.02878e-03 3.79684e-01 1.66849e+00 4.45868e+00 6.49985e+00 4.30561e-01 5.74834e-01 2.92508e-01 6.25256e-01 2.04279e-01 9.86551e-01
r/(r+r_e)  cos(theta)     rho        gamma      alpha      omega     pressure
7.8117e-03 2.5000e-01 -1.3595e+00 -1.6761e-01 5.9596e-01 1.2505e-01 4.1275e+35
7.8117e-03 2.6562e-01 -1.3595e+00 -1.6761e-01 5.9596e-01 1.2505e-01 4.1275e+35
7.8117e-03 2.8125e-01 -1.3595e+00 -1.6761e-01 5.9596e-01 1.2505e-01 4.1275e+35
7.8117e-03 2.9688e-01 -1.3595e+00 -1.6761e-01 5.9596e-01 1.2505e-01 4.1275e+35
7.8117e-03 3.1250e-01 -1.3595e+00 -1.6761e-01 5.9596e-01 1.2505e-01 4.1275e+35
7.8117e-03 3.2812e-01 -1.3595e+00 -1.6761e-01 5.9596e-01 1.2505e-01 4.1275e+35
7.8117e-03 3.4375e-01 -1.3595e+00 -1.6761e-01 5.9596e-01 1.2505e-01 4.1275e+35
7.8117e-03 3.5938e-01 -1.3595e+00 -1.6761e-01 5.9596e-01 1.2505e-01 4.1275e+35
7.8117e-03 3.7500e-01 -1.3595e+00 -1.6761e-01 5.9596e-01 1.2505e-01 4.1275e+35
7.8117e-03 3.9062e-01 -1.3595e+00 -1.6761e-01 5.9596e-01 1.2505e-01 4.1275e+35
7.8117e-03 4.0625e-01 -1.3595e+00 -1.6761e-01 5.9596e-01 1.2505e-01 4.1275e+35
7.8117e-03 4.2188e-01 -1.3595e+00 -1.6761e-01 5.9596e-01 1.2505e-01 4.1275e+35
7.8117e-03 4.3750e-01 -1.3595e+00 -1.6761e-01 5.9596e-01 1.2505e-01 4.1275e+35
7.8117e-03 4.5312e-01 -1.3595e+00 -1.6761e-01 5.9596e-01 1.2505e-01 4.1275e+35
7.8117e-03 4.6875e-01 -1.3595e+00 -1.6761e-01 5.9596e-01 1.2505e-01 4.1275e+35
7.8117e-03 4.8438e-01 -1.3595e+00 -1.6761e-01 5.9596e-01 1.2505e-01 4.1275e+35
7.8117e-03 5.0000e-01 -1.3595e+00 -1.6761e-01 5.9596e-01 1.2505e-01 4.1275e+35
7.8117e-03 5.1562e-01 -1.3595e+00 -1.6761e-01 5.9596e-01 1.2505e-01 4.1275e+35
7.8117e-03 5.3125e-01 -1.3595e+00 -1.6761e-01 5.9596e-01 1.2505e-01 4.1275e+35
7.8117e-03 5.4688e-01 -1.3595e+00 -1.6761e-01 5.9596e-01 1.2505e-01 4.1275e+35
7.8117e-03 5.6250e-01 -1.3595e+00 -1.6761e-01 5.9596e-01 1.2505e-01 4.1275e+35
7.8117e-03 5.7812e-01 -1.3595e+00 -1.6761e-01 5.9596e-01 1.2505e-01 4.1275e+35
7.8117e-03 5.9375e-01 -1.3595e+00 -1.6761e-01 5.9596e-01 1.2505e-01 4.1275e+35
7.8117e-03 6.0938e-01 -1.3595e+00 -1.6761e-01 5.9596e-01 1.2505e-01 4.1275e+35
7.8117e-03 6.2500e-01 -1.3595e+00 -1.6761e-01 5.9596e-01 1.2505e-01 4.1275e+35
7.8117e-03 6.4062e-01 -1.3595e+00 -1.6761e-01 5.9596e-01 1.2505e-01 4.1275e+35
7.8117e-03 6.5625e-01 -1.3595e+00 -1.6761e-01 5.9596e-01 1.2505e-01 4.1275e+35
7.8117e-03 6.7188e-01 -1.3595e+00 -1.6761e-01 5.9596e-01 1.2505e-01 4.1275e+35
7.8117e-03 6.8750e-01 -1.3595e+00 -1.6761e-01 5.9596e-01 1.2505e-01 4.1275e+35
7.8117e-03 7.0312e-01 -1.3595e+00 -1.6761e-01 5.9596e-01 1.2505e-01 4.1275e+35
7.8117e-03 7.1875e-01 -1.3595e+00 -1.6761e-01 5.9596e-01 1.2505e-01 4.1275e+35
7.8117e-03 7.3438e-01 -1.3595e+00 -1.6761e-01 5.9596e-01 1.2505e-01 4.1275e+35
7.8117e-03 7.5000e-01 -1.3595e+00 -1.6761e-01 5.9596e-01 1.2505e-01 4.1275e+35
7.8117e-03 7.6562e-01 -1.3595e+00 -1.6761e-01 5.9596e-01 1.2505e-01 4.1274e+35
7.8117e-03 7.8125e-01 -1.3595e+00 -1.6761e-01 5.9596e-01 1.2504e-01 4.1274e+35
7.8117e-03 7.9688e-01 -1.3595e+00 -1.6761e-01 5.9596e-01 1.2504e-01 4.1274e+35
7.8117e-03 8.1250e-01 -1.3595e+00 -1.6761e-01 5.9596e-01 1.2504e-01 4.1274e+35
7.8117e-03 8.2812e-01 -1.3595e+00 -1.6761e-01 5.9596e-01 1.2504e-01 4.1274e+35
7.8117e-03 8.4375e-01 -1.3595e+00 -1.6761e-01 5.9596e-01 1.2504e-01 4.1274e+35
7.8117e-03 8.5938e-01 -1.3595e+00 -1.6761e-01 5.9596e-01 1.2504e-01 4.1274e+35
7.8117e-03 8.7500e-01 -1.3595e+00 -1.6761e-01 5.9596e-01 1.2504e-01 4.1274e+35
7.8117e-03 8.9062e-01 -1.3595e+00 -1.6761e-01 5.9596e-01 1.2504e-01 4.1274e+35
7.8117e-03 9.0625e-01 -1.3595e+00 -1.6761e-01 5.9596e-01 1.2504e-01 4.1274e+35
7.8117e-03 9.2188e-01 -1.3595e+00 -1.6761e-01 5.9595e-01 1.2504e-01 4.1274e+35
7.8117e-03 9.3750e-01 -1.3595e+00 -1.6761e-01 5.9595e-01 1.2504e-01 4.1274e+35
7.8117e-03 9.5312e-01 -1.3595e+00 -1.6761e-01 5.9595e-01 1.2504e-01 4.1273e+35
7.8117e-03 9.6875e-01 -1.3595e+00 -1.6761e-01 5.9595e-01 1.2504e-01 4.1273e+35
7.8117e-03 9.8438e-01 -1.3595e+00 -1.6761e-01 5.9594e-01 1.2503e-01 4.1272e+35
7.8117e-03 1.0000e+00 -1.3595e+00 -1.6760e-01 5.9593e-01 1.2503e-01 4.1270e+35
1.5623e-02 0.0000e+00 -1.3592e+00 -1.6751e-01 5.9585e-01 1.2502e-01 4.1240e+35
1.5623e-02 1.5625e-02 -1.3592e+00 -1.6751e-01 5.9585e-01 1.2502e-01 4.1240e+35
